Agreement,Max. in-TXs per block,TXs per day,Total TXs,Self-TXs
Bot,2.9,424.6206920802982,5548.272727272727,138.74545454545455
Human,1.6953125,4.001269009896563,568.0859375,2.359375
Unclear,1.6774193548387097,100.20200802650953,2027.2903225806451,19.870967741935484
