,,
0,Address,0x478b0660f7f2301f01864c6d2c9111d63dc65ffc
1,Average Transaction Index,35.04655907994806
2,N Self Transactions,0
3,N Transactions,5391
4,Timeframe traded in,88 days 21:08:03
5,Average Transactions per Day,60.65441265805674
6,Max same-block Out-Transactions,7 in block 15319343
7,Max same-block In-Transactions,1 in block 15126414
