,block_number,tx_hash
21,account_address,0x00000000c2cf7648c169b25ef1c217864bfa38cc
22,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
23,start_amount,330000000000000000
24,end_amount,341615108093959945
25,profit_amount,11615108093959945
26,error,None
27,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0x0761ffb6f02550794508ddbeaeac15e2a583752228b64d2693d3fe71ef92cc3d', transaction_position=1, block_number=15510017, trace_address=[0], contract_address='0xf845cba831be88268b1415d976db0afc7b8c6357', from_address='0x40cd64cf6f2ed6e86790fc39edc3a91b91cb6d12', to_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=871582031250000000, token_out_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_out_amount=1669886716260539041760584, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x0761ffb6f02550794508ddbeaeac15e2a583752228b64d2693d3fe71ef92cc3d', transaction_position=1, block_number=15510017, trace_address=[0, 2, 0], contract_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', from_address='0xf845cba831be88268b1415d976db0afc7b8c6357', to_address='0x40cd64cf6f2ed6e86790fc39edc3a91b91cb6d12', token_in_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_in_amount=1669886716260539041760584, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=935699582321148528, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
28,block_number,15510017
29,transaction_hash,0x0761ffb6f02550794508ddbeaeac15e2a583752228b64d2693d3fe71ef92cc3d
30,account_address,0x40cd64cf6f2ed6e86790fc39edc3a91b91cb6d12
31,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
32,start_amount,871582031250000000
33,end_amount,935699582321148528
34,profit_amount,64117551071148528
35,error,None
36,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0x5fce45ef376606c28c6bf703298fd8ef2a78273d61b14af4449a2e40673d43f6', transaction_position=9, block_number=15510017, trace_address=[0, 2, 0, 1], contract_address='0xf845cba831be88268b1415d976db0afc7b8c6357', from_address='0x00000000000a47b1298f18cf67de547bbe0d723f', to_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=829068750000000278, token_out_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_out_amount=1566055505869985285930207, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x5fce45ef376606c28c6bf703298fd8ef2a78273d61b14af4449a2e40673d43f6', transaction_position=9, block_number=15510017, trace_address=[0, 2, 0, 3], contract_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', from_address='0xf845cba831be88268b1415d976db0afc7b8c6357', to_address='0x00000000000a47b1298f18cf67de547bbe0d723f', token_in_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_in_amount=1566055505869985285930207, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=864270937709412973, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
37,block_number,15510017
38,transaction_hash,0x5fce45ef376606c28c6bf703298fd8ef2a78273d61b14af4449a2e40673d43f6
39,account_address,0x00000000000a47b1298f18cf67de547bbe0d723f
40,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
41,start_amount,829068750000000278
42,end_amount,864270937709412973
43,profit_amount,35202187709412695
44,error,None
45,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0x3383565c5ea2636255fc646a2b50606fe0344caed4eb118577107958067e68df', transaction_position=131, block_number=15510018, trace_address=[0, 5, 0], contract_address='0xf845cba831be88268b1415d976db0afc7b8c6357', from_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', to_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=466635835310776400, token_out_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_out_amount=872018972482312328494376, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x3383565c5ea2636255fc646a2b50606fe0344caed4eb118577107958067e68df', transaction_position=131, block_number=15510018, trace_address=[0, 8, 2], contract_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', from_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', to_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', token_in_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_in_amount=872018972482312328494376, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=476185825808191642, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
46,block_number,15510018
47,transaction_hash,0x3383565c5ea2636255fc646a2b50606fe0344caed4eb118577107958067e68df
48,account_address,0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a
49,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
50,start_amount,466635835310776400
51,end_amount,476185825808191642
52,profit_amount,9549990497415242
53,error,None
54,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0xe5264a1d0c8b3e87dc262d5430686ba22c0174638ab3552dd657eece076f2583', transaction_position=57, block_number=15510021, trace_address=[1], contract_address='0xf845cba831be88268b1415d976db0afc7b8c6357', from_address='0x5aa3393e361c2eb342408559309b3e873cd876d6', to_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=338437677948975968, token_out_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_out_amount=623114774505544569108657, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0xe5264a1d0c8b3e87dc262d5430686ba22c0174638ab3552dd657eece076f2583', transaction_position=57, block_number=15510021, trace_address=[3], contract_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', from_address='0xf845cba831be88268b1415d976db0afc7b8c6357', to_address='0x5aa3393e361c2eb342408559309b3e873cd876d6', token_in_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_in_amount=623114774505544569108657, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=347496601078604197, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
55,block_number,15510021
56,transaction_hash,0xe5264a1d0c8b3e87dc262d5430686ba22c0174638ab3552dd657eece076f2583
57,account_address,0x5aa3393e361c2eb342408559309b3e873cd876d6
58,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
59,start_amount,338437677948975968
60,end_amount,347496601078604197
61,profit_amount,9058923129628229
62,error,None
63,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0x8df14d53dc145f56023d3431167b4014a88b309c61b9da85cd7d7115c223f9a8', transaction_position=271, block_number=15510022, trace_address=[0, 5, 0], contract_address='0xf845cba831be88268b1415d976db0afc7b8c6357', from_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', to_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=616955060529517900, token_out_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_out_amount=1046096406871916305520539, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x8df14d53dc145f56023d3431167b4014a88b309c61b9da85cd7d7115c223f9a8', transaction_position=271, block_number=15510022, trace_address=[0, 7, 2], contract_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', from_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', to_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', token_in_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_in_amount=1046096406871916305520539, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=658263032820625129, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
64,block_number,15510022
65,transaction_hash,0x8df14d53dc145f56023d3431167b4014a88b309c61b9da85cd7d7115c223f9a8
66,account_address,0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a
67,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
68,start_amount,616955060529517900
69,end_amount,658263032820625129
70,profit_amount,41307972291107229
71,error,None
72,swaps,"[Swap(abi_name='UniswapV2Pair', transaction_hash='0xdb6b7dcd93d2352fdc7c8a77137f1b2f4a6ccc45fefbeee0707bec4af2aa7ce9', transaction_position=0, block_number=15510029, trace_address=[1], contract_address='0x57ab5aeb8bac2586a0d437163c3eb844246336ce', from_address='0xa21815f6d237983bfa269ec7f2509479d5970f42', to_address='0x87da823b6fc8eb8575a235a824690fda94674c88', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=482896000000000000, token_out_address='0x09a3ecafa817268f77be1283176b946c4ff2e608', token_out_amount=3169504034942608055887, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0xdb6b7dcd93d2352fdc7c8a77137f1b2f4a6ccc45fefbeee0707bec4af2aa7ce9', transaction_position=0, block_number=15510029, trace_address=[2], contract_address='0x87da823b6fc8eb8575a235a824690fda94674c88', from_address='0x57ab5aeb8bac2586a0d437163c3eb844246336ce', to_address='0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b', token_in_address='0x09a3ecafa817268f77be1283176b946c4ff2e608', token_in_amount=3169504034942608055887, token_out_address='0xa47c8bf37f92abed4a126bda807a7b7498661acd', token_out_amount=15203308106091352294067, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0xdb6b7dcd93d2352fdc7c8a77137f1b2f4a6ccc45fefbeee0707bec4af2aa7ce9', transaction_position=0, block_number=15510029, trace_address=[3], contract_address='0x8b00ee8606cc70c2dce68dea0cefe632cca0fb7b', from_address='0x87da823b6fc8eb8575a235a824690fda94674c88', to_address='0xa21815f6d237983bfa269ec7f2509479d5970f42', token_in_address='0xa47c8bf37f92abed4a126bda807a7b7498661acd', token_in_amount=15203308106091352294067, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=532187683688994734, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
73,block_number,15510029
74,transaction_hash,0xdb6b7dcd93d2352fdc7c8a77137f1b2f4a6ccc45fefbeee0707bec4af2aa7ce9
75,account_address,0xa21815f6d237983bfa269ec7f2509479d5970f42
76,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
77,start_amount,482896000000000000
78,end_amount,532187683688994734
79,profit_amount,49291683688994734
80,error,None
81,swaps,"[Swap(abi_name='UniswapV2Pair', transaction_hash='0xc160c76d9a91c290ea3474b525236c4c27bbee96bc7ddd117b7830ea4b6f14ae', transaction_position=0, block_number=15510031, trace_address=[0, 2], contract_address='0x09071bd5ea1b26ad3b24be2839e2f8b44331c66d', from_address='0xdfee68a9adb981cd08699891a11cabe10f25ec44', to_address='0x0000000000007f150bd6f54c40a34d7c3d5e9f56', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=93512460000000000, token_out_address='0x09a3ecafa817268f77be1283176b946c4ff2e608', token_out_amount=594171749810503096054, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None'), Swap(abi_name='BPool', transaction_hash='0xc160c76d9a91c290ea3474b525236c4c27bbee96bc7ddd117b7830ea4b6f14ae', transaction_position=0, block_number=15510031, trace_address=[0, 3], contract_address='0x126c121f99e1e211df2e5f8de2d96fa36647c855', from_address='0x0000000000007f150bd6f54c40a34d7c3d5e9f56', to_address='0x0000000000007f150bd6f54c40a34d7c3d5e9f56', token_in_address='0x09a3ecafa817268f77be1283176b946c4ff2e608', token_in_amount=594171749810503548928, token_out_address='0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa', token_out_amount=341311020309182718142, protocol=<Protocol.balancer_v1: 'balancer_v1'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0xc160c76d9a91c290ea3474b525236c4c27bbee96bc7ddd117b7830ea4b6f14ae', transaction_position=0, block_number=15510031, trace_address=[0, 5], contract_address='0xffa98a091331df4600f87c9164cd27e8a5cd2405', from_address='0x0000000000007f150bd6f54c40a34d7c3d5e9f56', to_address='0xdfee68a9adb981cd08699891a11cabe10f25ec44', token_in_address='0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa', token_in_amount=341311020309217017856, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=102190604808638938, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
82,block_number,15510031
83,transaction_hash,0xc160c76d9a91c290ea3474b525236c4c27bbee96bc7ddd117b7830ea4b6f14ae
84,account_address,0xdfee68a9adb981cd08699891a11cabe10f25ec44
85,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
86,start_amount,93512460000000000
87,end_amount,102190604808638938
88,profit_amount,8678144808638938
89,error,None
90,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0xa08e0c4d5ba75f1b2fdd18441e124ebae506f007a40f3f9a82eff1f4cb3752d6', transaction_position=1, block_number=15510032, trace_address=[1], contract_address='0xf845cba831be88268b1415d976db0afc7b8c6357', from_address='0x5aa3393e361c2eb342408559309b3e873cd876d6', to_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=294193614683434900, token_out_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_out_amount=457694999334441337066853, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0xa08e0c4d5ba75f1b2fdd18441e124ebae506f007a40f3f9a82eff1f4cb3752d6', transaction_position=1, block_number=15510032, trace_address=[3], contract_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', from_address='0xf845cba831be88268b1415d976db0afc7b8c6357', to_address='0x5aa3393e361c2eb342408559309b3e873cd876d6', token_in_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_in_amount=457694999334441337066853, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=300458406083011843, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
91,block_number,15510032
92,transaction_hash,0xa08e0c4d5ba75f1b2fdd18441e124ebae506f007a40f3f9a82eff1f4cb3752d6
93,account_address,0x5aa3393e361c2eb342408559309b3e873cd876d6
94,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
95,start_amount,294193614683434900
96,end_amount,300458406083011843
97,profit_amount,6264791399576943
98,error,None
99,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0xd0e119bb77ecade1696ee99e63ed12f56c2ec859bd768bd4eee4a83202d108e0', transaction_position=237, block_number=15510041, trace_address=[0, 5, 0], contract_address='0xf845cba831be88268b1415d976db0afc7b8c6357', from_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', to_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=511246526448639500, token_out_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_out_amount=750743842712288176453689, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0xd0e119bb77ecade1696ee99e63ed12f56c2ec859bd768bd4eee4a83202d108e0', transaction_position=237, block_number=15510041, trace_address=[0, 7, 2], contract_address='0xd0fbb87e47da9987d345dbdf3a34d4266cf5ebe9', from_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', to_address='0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a', token_in_address='0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe', token_in_amount=750743842712288176453689, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=529862178559191609, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
100,block_number,15510041
101,transaction_hash,0xd0e119bb77ecade1696ee99e63ed12f56c2ec859bd768bd4eee4a83202d108e0
102,account_address,0xbadc0defafcf6d4239bdf0b66da4d7bd36fcf05a
103,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
104,start_amount,511246526448639500
105,end_amount,529862178559191609
106,profit_amount,18615652110552109
107,error,None
108,swaps,"[Swap(abi_name='UniswapV3Pool', transaction_hash='0x8558496bf0a4989475a0bd454e66d1979136461d27329ec265c7fe677736f747', transaction_position=3, block_number=15510044, trace_address=[0], contract_address='0xbbd4a8eea8be7c5323cfbb629cd26750deaa9588', from_address='0x000000000035b5e5ad9019092c665357240f594e', to_address='0x5720d8217b77175539bb66b076689ea8ead72e36', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=100000000000000000, token_out_address='0xb455007bc0fd7b21cb21dee9b3ccc4c4c43f0e1e', token_out_amount=76487451137388669478174711028, protocol=<Protocol.uniswap_v3: 'uniswap_v3'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x8558496bf0a4989475a0bd454e66d1979136461d27329ec265c7fe677736f747', transaction_position=3, block_number=15510044, trace_address=[1], contract_address='0x5720d8217b77175539bb66b076689ea8ead72e36', from_address='0xbbd4a8eea8be7c5323cfbb629cd26750deaa9588', to_address='0x000000000035b5e5ad9019092c665357240f594e', token_in_address='0xb455007bc0fd7b21cb21dee9b3ccc4c4c43f0e1e', token_in_amount=76487451137388669478174711028, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=105413218825990826, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
109,block_number,15510044
110,transaction_hash,0x8558496bf0a4989475a0bd454e66d1979136461d27329ec265c7fe677736f747
111,account_address,0x000000000035b5e5ad9019092c665357240f594e
112,profit_token_address,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
113,start_amount,100000000000000000
114,end_amount,105413218825990826
115,profit_amount,5413218825990826
116,error,None
117,swaps,"[Swap(abi_name='UniswapV2Pair', transaction_hash='0x94f9d06a976b5aece51bb48a073dc1e89b85dbf7f9fb43a8cf1e719095cb1ed6', transaction_position=14, block_number=15510045, trace_address=[1], contract_address='0xefb47fcfcad4f96c83d4ca676842fb03ef20a477', from_address='0xe8c060f8052e07423f71d445277c61ac5138a2e5', to_address='0xff64cb7ba5717a10dabc4be3a41acd2c2f95ee22', token_in_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_in_amount=3127874984886665216, token_out_address='0x9813037ee2218799597d83d4a5b6f3b6778218d9', token_out_amount=2994001457627497357766, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x94f9d06a976b5aece51bb48a073dc1e89b85dbf7f9fb43a8cf1e719095cb1ed6', transaction_position=14, block_number=15510045, trace_address=[2], contract_address='0xff64cb7ba5717a10dabc4be3a41acd2c2f95ee22', from_address='0xefb47fcfcad4f96c83d4ca676842fb03ef20a477', to_address='0xcf6daab95c476106eca715d48de4b13287ffdeaa', token_in_address='0x9813037ee2218799597d83d4a5b6f3b6778218d9', token_in_amount=2994001457627497357766, token_out_address='0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce', token_out_amount=411625491344850580386245785, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None'), Swap(abi_name='UniswapV2Pair', transaction_hash='0x94f9d06a976b5aece51bb48a073dc1e89b85dbf7f9fb43a8cf1e719095cb1ed6', transaction_position=14, block_number=15510045, trace_address=[3], contract_address='0xcf6daab95c476106eca715d48de4b13287ffdeaa', from_address='0xff64cb7ba5717a10dabc4be3a41acd2c2f95ee22', to_address='0xe8c060f8052e07423f71d445277c61ac5138a2e5', token_in_address='0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce', token_in_amount=411625491344850580386245785, token_out_address='0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', token_out_amount=3138226851976984178, protocol=<Protocol.uniswap_v2: 'uniswap_v2'>, error='None')]"
118,block_number,15510045
119,transaction_hash,0x94f9d06a976b5aece51bb48a073dc1e89b85dbf7f9fb43a8cf1e719095cb1ed6
