,Accuracy,Precision,Recall,F1,N Positives
T1,0.5370370370370371,1.0,0.08759124087591241,0.16107382550335572,12
T2,0.5074074074074074,1.0,0.029197080291970802,0.05673758865248227,4
T3,0.5222222222222223,1.0,0.058394160583941604,0.1103448275862069,8
T4,0.5037037037037037,1.0,0.021897810218978103,0.04285714285714286,3
T5,0.674074074074074,0.8769230769230769,0.41605839416058393,0.5643564356435643,65
T6,0.4925925925925926,0.5,0.0072992700729927005,0.014388489208633093,2
T7,0.5444444444444444,0.9375,0.10948905109489052,0.19607843137254904,16
Combined,0.6814814814814815,0.8695652173913043,0.43795620437956206,0.5825242718446602,69
