,,,Purity,Entropy
gmm,mean,non-UMAP,0.774074074074074,0.7193676997716981
gmm,mean,UMAP,0.7703703703703704,0.725891156594125
gmm,-1,non-UMAP,0.7888888888888889,0.605516043077086
gmm,-1,UMAP,0.7481481481481481,0.7652465836853062
kmeans,mean,non-UMAP,0.5851851851851851,0.9701821848375914
kmeans,mean,UMAP,0.6518518518518519,0.922842759027737
kmeans,-1,non-UMAP,0.6222222222222222,0.9059948487012844
kmeans,-1,UMAP,0.7037037037037037,0.8680596761037207
