,,,Accuracy,Recall,Precision,F1,Purity,Entropy,BM-mean,p-value
gmm,mean,non-UMAP,0.7703703703703704,0.7699906701059218,0.7708826606464401,0.770054945054945,0.7703703703703704,0.7251453609100494,0.5773851851851851,0.0
gmm,mean,UMAP,0.7037037037037037,0.7012238625761484,0.7276056862623378,0.6940336562978071,0.7037037037037037,0.7630936625873616,0.5885703703703704,0.0
gmm,-1,non-UMAP,0.674074074074074,0.6733439438011086,0.6751899717122414,0.6729254996971533,0.674074074074074,0.7829675536023252,0.5728111111111112,0.0
gmm,-1,UMAP,0.674074074074074,0.670490093847758,0.7239887518927104,0.6520007030288828,0.674074074074074,0.8104611425300258,0.5817037037037037,0.0
xmeans,mean,non-UMAP,0.7962962962962963,0.7972943307173042,0.8020182872435325,0.7956656346749226,0.7962962962962963,0.6538420504409818,0.5862703703703704,0.0
xmeans,mean,UMAP,0.6888888888888889,0.686186268591186,0.7157392686804451,0.6769046669325887,0.6888888888888889,0.8066324268430304,0.5693629629629631,0.0
xmeans,-1,non-UMAP,0.7074074074074074,0.7070687668075297,0.707581426056338,0.707081942899518,0.7074074074074074,0.7510576398653506,0.5947888888888889,0.0
xmeans,-1,UMAP,0.6666666666666666,0.6649470391306734,0.6747282134759607,0.6612957181088315,0.6666666666666666,0.8220207883437509,0.5783851851851851,0.0
