Algorithm,Accuracy,Precision,Recall,F1,N Positives
CEX-Pattern,0.5888888888888889,0.6805555555555556,0.35766423357664234,0.4688995215311004,72
Diamond,0.5222222222222223,0.532258064516129,0.48175182481751827,0.5057471264367815,124
Both,0.5259259259259259,0.5354330708661418,0.49635036496350365,0.5151515151515152,127
CEX-Pattern-small,0.5333333333333333,1.0,0.08029197080291971,0.14864864864864866,11
Diamond-small,0.5518518518518518,0.6666666666666666,0.23357664233576642,0.3459459459459459,48
Both-small,0.5518518518518518,0.6666666666666666,0.23357664233576642,0.3459459459459459,48
