,n_bot_tx,percentage_bot_tx,n_bots,n_addresses,percentage_bots,average_sci_bot,average_sci_non_bot
largesample1,9596131,0.4509533590608832,1089587,5204295,0.20936303572337847,0.2518487919766831,0.3037467640322841
largesample2,5891169,0.5478983942229301,151180,1748286,0.08647326581577613,0.6693895557910493,0.7215163625434646
largesample3,11625803,0.5431895579125525,981569,4082588,0.2404281303918005,0.4962514847361511,0.7577169541223299
largesample4,4866031,0.3390221481911688,282993,2662611,0.10628401970847412,0.5281505604875925,0.7838299460161978
large,6003355,0.35150860468879946,653496,3724175,0.1754740311612639,0.48385727647290555,0.7550964189068945
