,n_bot_tx,percentage_bot_tx,n_bots,n_addresses,percentage_bots,average_sci_bot,average_sci_non_bot
largesample1,16353555,0.7685066575098758,4060934,5204295,0.7803043447767661,0.20822279926291257,0.5197669636292254
largesample2,6383325,0.5936705460839921,493718,1748286,0.2824011631964107,0.6227589853250461,0.7955182643442619
largesample3,12829289,0.5994197407475744,2306403,4082588,0.5649365059614146,0.4806648287368068,0.8177428787441573
largesample4,5822730,0.40567650163699415,547808,2662611,0.20574090620071803,0.5334863543389441,0.8088626731248196
large,6003355,0.35150860468879946,653496,3724175,0.1754740311612639,0.48385727647290555,0.7550964189068945
