row_0,Human,Deposit Wallet,General,CEX,Copytrader,Trader,MEV,NFT,Faucet-like,Protocol,Sandwich,Arbitrage,Block Builder,Gamer,Quant Firm,Rollup
Accuracy,0.12781954887218044,0.8529411764705882,0.6153846153846154,0.96,1.0,0.5,1.0,0.16666666666666666,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,1.0,1.0
N Samples,133.0,34.0,26.0,25.0,14.0,12.0,8.0,6.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
