hex_signature_hash,text_signature,col_names,tablename,foreignkeys,added_columns
0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,"Swap(index_topic_1 address,uint256,uint256,uint256,uint256,index_topic_2 address)","sender,amount0In,amount1In,amount0Out,amount1Out,to","swap","[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}, {'column': 'sender','table_foreign': 'accounts','column_foreign': 'address'}]",""
0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,"Transfer(index_topic_1 address,index_topic_2 address,uint256)","from,to,value","transferErc20","[{'column': 'to','table_foreign': 'accounts','column_foreign': 'address'}, {'column': 'from','table_foreign': 'accounts','column_foreign': 'address'}]",""
0xc42079f94a6350d7e6235f29174924f928cc2ac818eb64fed8004e115fbcca67,"Swap(index_topic1 address,index_topic_2 address,int256,int256,uint160,uint128,int24)","sender,recipient,amount0,amount1,sqrtPriceX96,liquidity,tick","swapV3","[{'column': 'recipient','table_foreign': 'accounts','column_foreign': 'address'}, {'column': 'sender','table_foreign': 'accounts','column_foreign': 'address'}]",""
