hex_signature_hash,text_signature,col_names,tablename,foreignkeys,added_columns
0xb1542aef,"v2SwapExactInput(address,uint256,uint256,address[],address)","recipient,amountIn,amountOutMin,path,payer",v2SwapExactInput,"[{'column': 'payer','table_foreign': 'accounts','column_foreign': 'address'}, {'column': 'recipient','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['payer', 'recipient', 'value']}"
0x343e4d26,"v2SwapExactOutput(address,uint256,uint256,address[],address)","recipient,amountOut,amountInMax,path,payer",v2SwapExactOutput,"[{'column': 'payer','table_foreign': 'accounts','column_foreign': 'address'}, {'column': 'recipient','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['payer', 'recipient', 'value']}"
0x89320221,"v3SwapExactInput(address,uint256,uint256,bytes,address)","recipient,amountIn,amountOutMin,path,payer",v3SwapExactInput,"[{'column': 'payer','table_foreign': 'accounts','column_foreign': 'address'}, {'column': 'recipient','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['payer', 'recipient', 'value']}"
0x6e53c4f5,"v3SwapExactOutput(address,uint256,uint256,bytes,address)","recipient,amountOut,amountInMax,path,payer",v3SwapExactOutput,"[{'column': 'payer','table_foreign': 'accounts','column_foreign': 'address'}, {'column': 'recipient','table_foreign': 'accounts','column_foreign': 'address'}]","{'transactions':['payer', 'recipient', 'value']}"
